Date,Avg_Temp,Quality,均質番号
1904/5,13.3,8,2
1904/6,19.2,8,2
1904/7,22.8,8,2
1904/8,24.4,8,2
1904/9,18.3,8,2
1904/10,12.5,8,2
1904/11,5.7,8,2
1904/12,2.6,8,2
1905/1,1.2,8,2
1905/2,-2.4,8,2
1905/3,2.1,8,2
1905/4,7.1,8,2
1905/5,13.3,8,2
1905/6,18.7,8,2
1905/7,22.4,8,2
1905/8,20.5,8,2
1905/9,18.5,8,2
1905/10,13.2,8,2
1905/11,6.6,8,2
1905/12,3.3,8,2
1906/1,-2.1,8,2
1906/2,-2.2,8,2
1906/3,2.4,8,2
1906/4,8.7,8,2
1906/5,13.1,8,2
1906/6,16.6,8,2
1906/7,23.5,8,2
1906/8,22.9,8,2
1906/9,17.1,8,2
1906/10,12.6,8,2
1906/11,4.8,8,2
1906/12,2.9,8,2
1907/1,-1.3,8,2
1907/2,-2.2,8,2
1907/3,2.0,8,2
1907/4,8.5,8,2
1907/5,13.1,8,2
1907/6,16.8,8,2
1907/7,21.5,8,2
1907/8,25.6,8,2
1907/9,18.5,8,2
1907/10,11.3,8,2
1907/11,7.0,8,2
1907/12,0.3,8,2
1908/1,-2.4,8,2
1908/2,-2.0,8,2
1908/3,1.4,8,2
1908/4,8.4,8,2
1908/5,12.8,8,2
1908/6,17.5,8,2
1908/7,20.5,8,2
1908/8,24.8,8,2
1908/9,17.3,8,2
1908/10,11.8,8,2
1908/11,4.7,8,2
1908/12,0.9,8,2
1909/1,-3.2,8,2
1909/2,-2.0,8,2
1909/3,0.6,8,2
1909/4,9.8,8,2
1909/5,13.6,8,2
1909/6,18.7,8,2
1909/7,22.3,8,2
1909/8,23.9,8,2
1909/9,19.0,8,2
1909/10,11.6,8,2
1909/11,6.8,8,2
1909/12,0.3,8,2
1910/1,0.0,8,2
1910/2,-2.2,8,2
1910/3,0.5,8,2
1910/4,7.8,8,2
1910/5,13.1,8,2
1910/6,18.3,8,2
1910/7,21.8,8,2
1910/8,22.7,8,2
1910/9,17.5,8,2
1910/10,13.0,8,2
1910/11,6.8,8,2
1910/12,-1.1,8,2
1911/1,-3.0,8,2
1911/2,-0.5,8,2
1911/3,2.7,8,2
1911/4,8.3,8,2
1911/5,12.9,8,2
1911/6,18.3,8,2
1911/7,21.3,8,2
1911/8,23.6,8,2
1911/9,19.6,8,2
1911/10,12.8,8,2
1911/11,9.0,8,2
1911/12,0.5,8,2
1912/1,-1.3,8,2
1912/2,1.0,8,2
1912/3,2.7,8,2
1912/4,8.0,8,2
1912/5,12.7,8,2
1912/6,18.1,8,2
1912/7,21.1,8,2
1912/8,24.4,8,2
1912/9,17.6,8,2
1912/10,11.7,8,2
1912/11,4.6,8,2
1912/12,0.3,8,2
1913/1,-2.2,8,2
1913/2,-1.7,8,2
1913/3,0.8,8,2
1913/4,8.4,8,2
1913/5,12.2,8,2
1913/6,17.1,8,2
1913/7,20.9,8,2
1913/8,21.3,8,2
1913/9,17.0,8,2
1913/10,12.0,8,2
1913/11,6.2,8,2
1913/12,1.3,8,2
1914/1,1.2,8,2
1914/2,-0.6,8,2
1914/3,4.5,8,2
1914/4,7.4,8,2
1914/5,15.0,8,2
1914/6,18.5,8,2
1914/7,21.7,8,2
1914/8,24.1,8,2
1914/9,19.9,8,2
1914/10,12.3,8,2
1914/11,8.8,8,2
1914/12,1.3,8,2
1915/1,-2.2,8,2
1915/2,-1.0,8,2
1915/3,1.2,8,2
1915/4,7.4,8,2
1915/5,11.6,8,2
1915/6,19.6,8,2
1915/7,22.3,8,2
1915/8,24.1,8,2
1915/9,20.0,8,2
1915/10,14.7,8,2
1915/11,7.4,8,2
1915/12,2.7,8,2
1916/1,0.7,8,2
1916/2,-0.5,8,2
1916/3,0.7,8,2
1916/4,7.2,8,2
1916/5,12.9,8,2
1916/6,21.2,8,2
1916/7,22.8,8,2
1916/8,25.3,8,2
1916/9,20.2,8,2
1916/10,13.3,8,2
1916/11,7.4,8,2
1916/12,2.5,8,2
1917/1,-0.9,8,2
1917/2,-1.2,8,2
1917/3,1.5,8,2
1917/4,8.4,8,2
1917/5,11.9,8,2
1917/6,16.9,8,2
1917/7,23.2,8,2
1917/8,23.4,8,2
1917/9,19.2,8,2
1917/10,14.2,8,2
1917/11,5.4,8,2
1917/12,0.6,8,2
1918/1,-2.1,8,2
1918/2,-1.9,8,2
1918/3,2.1,8,2
1918/4,7.7,8,2
1918/5,13.2,8,2
1918/6,17.8,8,2
1918/7,24.0,8,2
1918/8,24.1,8,2
1918/9,20.0,8,2
1918/10,12.9,8,2
1918/11,6.1,8,2
1918/12,-0.5,8,2
1919/1,-2.5,8,2
1919/2,-1.3,8,2
1919/3,3.2,8,2
1919/4,7.5,8,2
1919/5,12.5,8,2
1919/6,17.7,8,2
1919/7,23.1,8,2
1919/8,22.9,8,2
1919/9,20.0,8,2
1919/10,13.6,8,2
1919/11,8.0,8,2
1919/12,1.1,8,2
1920/1,0.9,8,2
1920/2,-1.9,8,2
1920/3,2.7,8,2
1920/4,8.8,8,2
1920/5,13.7,8,2
1920/6,18.8,8,2
1920/7,24.4,8,2
1920/8,25.0,8,2
1920/9,18.6,8,2
1920/10,13.1,8,2
1920/11,8.1,8,2
1920/12,0.5,8,2
1921/1,-0.7,8,2
1921/2,-0.9,8,2
1921/3,0.9,8,2
1921/4,10.0,8,2
1921/5,12.6,8,2
1921/6,17.3,8,2
1921/7,22.9,8,2
1921/8,23.9,8,2
1921/9,19.4,8,2
1921/10,12.6,8,2
1921/11,5.7,8,2
1921/12,0.8,8,2
1922/1,-4.4,8,2
1922/2,0.9,8,2
1922/3,1.1,8,2
1922/4,9.4,8,2
1922/5,12.9,8,2
1922/6,19.4,8,2
1922/7,23.7,8,2
1922/8,25.1,8,2
1922/9,20.6,8,2
1922/10,14.2,8,2
1922/11,7.1,8,2
1922/12,0.8,8,2
1923/1,-3.0,8,2
1923/2,-1.9,8,2
1923/3,2.3,8,2
1923/4,7.5,8,2
1923/5,14.5,8,2
1923/6,17.9,8,2
1923/7,20.8,8,2
1923/8,24.2,8,2
1923/9,20.3,8,2
1923/10,12.9,8,2
1923/11,7.6,8,2
1923/12,1.2,8,2
1924/1,-2.4,8,2
1924/2,-1.7,8,2
1924/3,-1.1,8,2
1924/4,9.8,8,2
1924/5,13.0,8,2
1924/6,18.3,8,2
1924/7,24.7,8,2
1924/8,24.9,8,2
1924/9,18.6,8,2
1924/10,11.5,8,2
1924/11,6.9,8,2
1924/12,0.4,8,2
1925/1,-2.5,8,2
1925/2,-2.4,8,2
1925/3,0.4,8,2
1925/4,7.9,8,2
1925/5,13.6,8,2
1925/6,19.4,8,2
1925/7,22.0,8,2
1925/8,25.0,8,2
1925/9,20.2,8,2
1925/10,13.1,8,2
1925/11,7.9,8,2
1925/12,3.0,8,2
1926/1,-1.8,8,2
1926/2,-0.9,8,2
1926/3,1.9,8,2
1926/4,6.3,8,2
1926/5,14.2,8,2
1926/6,17.5,8,2
1926/7,21.8,8,2
1926/8,23.0,8,2
1926/9,19.7,8,2
1926/10,11.0,8,2
1926/11,5.9,8,2
1926/12,0.6,8,3
1927/1,-1.5,8,3
