Date,Avg_Temp,Quality,均質番号
1906/8,19.9,8,1
1906/9,14.9,8,1
1906/10,9.3,8,1
1906/11,-0.1,8,1
1906/12,-2.4,8,1
1907/1,-5.4,8,1
1907/2,-6.1,8,1
1907/3,-2.3,8,1
1907/4,5.8,8,1
1907/5,10.6,8,1
1907/6,13.5,8,1
1907/7,18.1,8,1
1907/8,23.3,8,1
1907/9,15.9,8,1
1907/10,8.4,8,1
1907/11,2.4,8,1
1907/12,-5.2,8,1
1908/1,-8.5,8,1
1908/2,-6.4,8,1
1908/3,-3.0,8,1
1908/4,5.0,8,1
1908/5,9.2,8,1
1908/6,13.5,8,1
1908/7,17.4,8,1
1908/8,22.0,8,1
1908/9,15.3,8,1
1908/10,9.2,8,1
1908/11,0.6,8,1
1908/12,-4.4,8,1
1909/1,-9.4,8,1
1909/2,-5.9,8,1
1909/3,-3.6,8,1
1909/4,6.4,8,1
1909/5,11.0,8,1
1909/6,15.2,8,1
1909/7,19.0,8,1
1909/8,20.8,8,1
1909/9,16.0,8,1
1909/10,8.1,8,1
1909/11,3.5,8,1
1909/12,-4.2,8,1
1910/1,-4.9,8,1
1910/2,-5.7,8,1
1910/3,-2.1,8,1
1910/4,5.5,8,1
1910/5,10.6,8,1
1910/6,15.2,8,1
1910/7,18.8,8,1
1910/8,20.6,8,1
1910/9,15.1,8,1
1910/10,10.2,8,1
1910/11,2.8,8,1
1910/12,-6.5,8,1
1911/1,-6.4,8,1
1911/2,-5.4,8,1
1911/3,-0.9,8,1
1911/4,5.2,8,1
1911/5,11.3,8,1
1911/6,15.7,8,1
1911/7,18.6,8,1
1911/8,19.7,8,1
1911/9,17.2,8,1
1911/10,10.2,8,1
1911/11,5.5,8,1
1911/12,-3.4,8,1
1912/1,-5.7,8,1
1912/2,-3.8,8,1
1912/3,-1.7,8,1
1912/4,4.8,8,1
1912/5,9.7,8,1
1912/6,14.9,8,1
1912/7,18.0,8,1
1912/8,20.8,8,1
1912/9,14.4,8,1
1912/10,8.9,8,1
1912/11,0.3,8,1
1912/12,-5.5,8,1
1913/1,-8.7,8,1
1913/2,-5.4,8,1
1913/3,-2.6,8,1
1913/4,5.7,8,1
1913/5,9.4,8,1
1913/6,12.8,8,1
1913/7,16.9,8,1
1913/8,18.4,8,1
1913/9,13.9,8,1
1913/10,9.2,8,1
1913/11,2.3,8,1
1913/12,-3.5,8,1
1914/1,-3.3,8,1
1914/2,-4.5,8,1
1914/3,1.2,8,1
1914/4,4.8,8,1
1914/5,12.5,8,1
1914/6,14.8,8,1
1914/7,18.5,8,1
1914/8,20.3,8,1
1914/9,16.9,8,1
1914/10,9.5,8,1
1914/11,5.2,8,1
1914/12,-3.8,8,1
1915/1,-6.9,8,1
1915/2,-4.4,8,1
1915/3,-2.2,8,1
1915/4,4.0,8,1
1915/5,8.2,8,1
1915/6,16.1,8,1
1915/7,17.9,8,1
1915/8,21.3,8,1
1915/9,17.5,8,1
1915/10,11.0,8,1
1915/11,3.6,8,1
1915/12,-1.1,8,1
1916/1,-3.8,8,1
1916/2,-4.3,8,1
1916/3,-3.1,8,1
1916/4,4.1,8,1
1916/5,9.7,8,1
1916/6,16.7,8,1
1916/7,20.1,8,1
1916/8,22.9,8,1
1916/9,16.7,8,1
1916/10,10.2,8,1
1916/11,4.4,8,1
1916/12,-2.9,8,1
1917/1,-6.6,8,1
1917/2,-5.1,8,1
1917/3,-1.8,8,1
1917/4,4.9,8,1
1917/5,9.8,8,1
1917/6,14.6,8,1
1917/7,19.6,8,1
1917/8,21.4,8,1
1917/9,16.5,8,1
1917/10,11.1,8,1
1917/11,1.9,8,1
1917/12,-0.8,8,1
1918/1,-6.0,8,1
1918/2,-4.8,8,1
1918/3,-0.8,8,1
1918/4,5.2,8,1
1918/5,11.0,8,1
1918/6,15.2,8,1
1918/7,19.9,8,1
1918/8,21.4,8,1
1918/9,17.9,8,1
1918/10,9.8,8,1
1918/11,2.7,8,1
1918/12,-4.3,8,1
1919/1,-7.0,8,1
1919/2,-4.9,8,1
1919/3,-1.1,8,1
1919/4,4.9,8,1
1919/5,10.2,8,1
1919/6,14.2,8,1
1919/7,20.5,8,1
1919/8,19.9,8,1
1919/9,17.3,8,1
1919/10,10.9,8,1
1919/11,4.8,8,1
1919/12,-2.3,8,1
1920/1,-2.0,8,1
1920/2,-6.3,8,1
1920/3,-0.2,8,1
1920/4,6.4,8,1
1920/5,11.1,8,1
1920/6,16.4,8,1
1920/7,21.3,8,1
1920/8,22.5,8,1
1920/9,15.7,8,1
1920/10,9.5,8,1
1920/11,4.6,8,1
1920/12,-4.1,8,1
1921/1,-6.1,8,1
1921/2,-5.0,8,1
1921/3,-1.7,8,1
1921/4,6.8,8,1
1921/5,9.9,8,1
1921/6,14.5,8,1
1921/7,20.4,8,1
1921/8,21.2,8,1
1921/9,17.0,8,1
1921/10,9.8,8,1
1921/11,2.2,8,1
1921/12,-3.0,8,1
1922/1,-10.2,8,1
1922/2,-2.2,8,1
1922/3,-2.5,8,1
1922/4,6.4,8,1
1922/5,9.9,8,1
1922/6,15.5,8,1
1922/7,19.9,8,1
1922/8,21.2,8,1
1922/9,16.8,8,1
1922/10,11.3,8,1
1922/11,3.4,8,1
1922/12,-3.5,8,1
1923/1,-7.1,8,1
1923/2,-5.8,8,1
1923/3,-0.3,8,1
1923/4,4.7,8,1
1923/5,10.7,8,1
1923/6,14.4,8,1
1923/7,18.8,8,1
1923/8,21.0,8,1
1923/9,17.0,8,1
1923/10,10.3,8,1
1923/11,3.7,8,1
1923/12,-2.4,8,1
1924/1,-6.3,8,1
1924/2,-5.7,8,1
1924/3,-4.3,8,1
1924/4,6.6,8,1
1924/5,9.5,8,1
1924/6,14.9,8,1
1924/7,22.7,8,1
1924/8,22.2,8,1
1924/9,16.7,8,1
1924/10,9.3,8,1
1924/11,4.0,8,1
1924/12,-3.8,8,1
1925/1,-5.4,8,1
1925/2,-5.5,8,1
1925/3,-3.6,8,1
1925/4,5.0,8,1
1925/5,10.6,8,1
1925/6,17.0,8,1
1925/7,18.8,8,1
1925/8,22.6,8,1
1925/9,17.7,8,1
1925/10,10.7,8,1
1925/11,3.9,8,1
1925/12,-1.4,8,1
1926/1,-6.2,8,1
1926/2,-3.6,8,1
1926/3,-1.1,8,1
1926/4,3.3,8,1
1926/5,10.0,8,1
1926/6,14.5,8,1
1926/7,18.9,8,1
1926/8,19.9,8,1
1926/9,17.1,8,1
1926/10,7.8,8,1
1926/11,2.8,8,1
1926/12,-2.9,8,1
1927/1,-5.8,8,1
1927/2,-7.5,8,1
1927/3,-1.5,8,1
1927/4,7.0,8,1
1927/5,10.0,8,1
1927/6,14.7,8,1
1927/7,21.0,8,1
1927/8,22.0,8,1
1927/9,16.2,8,1
1927/10,11.0,8,1
1927/11,4.7,8,1
1927/12,-2.9,8,1
1928/1,-5.2,8,1
1928/2,-6.4,8,1
1928/3,-0.4,8,1
1928/4,5.7,8,1
1928/5,11.6,8,1
1928/6,14.7,8,1
1928/7,20.5,8,1
1928/8,22.7,8,1
1928/9,18.5,8,1
1928/10,11.1,8,1
1928/11,4.4,8,1
1928/12,-3.8,8,1
1929/1,-7.0,8,1
1929/2,-6.2,8,1
1929/3,-1.7,8,1
1929/4,3.7,8,1
1929/5,10.1,8,1
1929/6,14.3,8,1
1929/7,21.4,8,1
1929/8,21.3,8,1
1929/9,15.6,8,1
1929/10,11.2,8,1
1929/11,3.2,8,1
1929/12,-1.6,8,1
1930/1,-7.2,8,1
1930/2,-4.1,8,1
1930/3,0.5,8,1
1930/4,5.7,8,1
1930/5,10.9,8,1
1930/6,15.0,8,1
1930/7,20.2,8,1
1930/8,22.2,8,1
1930/9,17.3,8,1
1930/10,10.8,8,1
1930/11,3.0,8,1
1930/12,-4.3,8,1
1931/1,-7.7,8,1
1931/2,-7.9,8,1
1931/3,-0.4,8,1
1931/4,4.3,8,1
1931/5,9.2,8,1
1931/6,13.4,8,1
1931/7,16.0,8,1
1931/8,21.3,8,1
1931/9,17.1,8,1
1931/10,10.4,8,1
1931/11,4.2,8,1
1931/12,-2.6,8,1
1932/1,-2.5,8,1
1932/2,-5.6,8,1
1932/3,-1.2,8,1
1932/4,5.4,8,1
1932/5,11.5,8,1
1932/6,15.9,8,1
1932/7,18.5,8,1
1932/8,19.8,8,1
1932/9,16.3,8,1
1932/10,11.3,8,1
1932/11,5.2,8,1
1932/12,-1.6,8,1
1933/1,-6.8,8,1
1933/2,-7.2,8,1
1933/3,-3.6,8,1
1933/4,4.3,8,1
1933/5,11.5,8,1
1933/6,15.2,8,1
1933/7,22.4,8,1
1933/8,22.8,8,1
1933/9,16.6,8,1
1933/10,9.2,8,1
1933/11,3.7,8,1
1933/12,-2.1,8,1
1934/1,-4.9,8,1
1934/2,-4.9,8,1
1934/3,-1.6,8,1
1934/4,4.9,8,1
1934/5,10.9,8,1
1934/6,16.7,8,1
1934/7,17.7,8,1
1934/8,19.6,8,1
1934/9,16.0,8,1
1934/10,9.3,8,1
1934/11,3.6,8,1
1934/12,-2.6,8,1
1935/1,-5.4,8,1
1935/2,-2.1,8,1
1935/3,-0.3,8,1
1935/4,5.5,8,1
1935/5,10.4,8,1
1935/6,14.9,8,1
1935/7,19.2,8,1
1935/8,19.3,8,1
1935/9,16.0,8,1
1935/10,12.1,8,1
1935/11,3.5,8,1
1935/12,-4.2,8,1
1936/1,-6.0,8,1
1936/2,-4.3,8,1
1936/3,-1.4,8,1
1936/4,4.5,8,1
1936/5,10.2,8,1
1936/6,16.2,8,1
1936/7,19.0,8,1
1936/8,20.5,8,1
1936/9,17.5,8,1
1936/10,10.4,8,1
1936/11,3.5,8,1
1936/12,-1.5,8,1
1937/1,-5.4,8,1
1937/2,-3.5,8,1
1937/3,-1.7,8,1
1937/4,5.1,8,1
1937/5,9.7,8,1
1937/6,14.7,8,1
1937/7,22.1,8,1
1937/8,21.7,8,1
1937/9,16.3,8,1
1937/10,9.9,8,1
1937/11,2.9,8,1
1937/12,-4.9,8,1
1938/1,-5.9,8,1
1938/2,-5.0,8,1
1938/3,0.0,8,1
1938/4,6.6,8,1
1938/5,12.4,8,1
1938/6,15.3,8,1
1938/7,19.9,8,1
1938/8,23.5,8,1
1938/9,16.8,8,1
1938/10,9.4,8,1
1938/11,3.0,8,1
1938/12,-4.4,8,1
1939/1,-7.8,8,1
1939/2,-5.9,8,1
1939/3,-1.2,8,1
1939/4,4.8,8,1
1939/5,10.4,8,1
1939/6,16.1,8,1
1939/7,21.1,8,1
1939/8,22.1,8,1
1939/9,18.7,8,1
1939/10,10.3,8,1
1939/11,3.9,8,1
1939/12,-2.4,8,1
1940/1,-7.3,8,1
1940/2,-4.6,8,1
1940/3,0.1,8,1
1940/4,4.8,8,1
1940/5,11.5,8,1
1940/6,14.5,8,1
1940/7,20.1,8,1
1940/8,21.0,8,1
1940/9,15.2,8,1
1940/10,11.0,8,1
1940/11,5.2,8,1
1940/12,-0.9,8,1
1941/1,-5.4,8,1
1941/2,-5.0,8,1
1941/3,-1.3,8,1
1941/4,4.7,8,1
1941/5,10.6,8,1
1941/6,14.9,8,1
1941/7,17.5,8,1
1941/8,19.6,8,1
1941/9,16.6,8,1
1941/10,10.6,8,1
1941/11,3.9,8,1
1941/12,-1.6,8,1
1942/1,-7.1,8,1
1942/2,-7.0,8,1
1942/3,0.1,8,1
1942/4,6.2,8,1
1942/5,10.6,8,1
1942/6,15.8,8,1
1942/7,20.4,8,1
1942/8,20.0,8,1
1942/9,16.3,8,1
1942/10,10.3,8,1
1942/11,3.3,8,1
1942/12,-3.5,8,1
1943/1,-5.6,8,1
1943/2,-4.8,8,1
1943/3,-1.0,8,1
1943/4,5.1,8,1
1943/5,10.6,8,1
1943/6,16.7,8,1
1943/7,22.3,8,1
1943/8,23.6,8,1
1943/9,17.9,8,1
1943/10,10.7,8,1
1943/11,2.5,8,1
1943/12,-2.7,8,1
1944/1,-6.4,8,1
1944/2,-6.3,8,1
1944/3,-1.2,8,1
1944/4,3.8,8,1
1944/5,11.7,8,1
1944/6,16.3,8,1
1944/7,21.2,8,1
1944/8,22.7,8,1
1944/9,17.7,8,1
1944/10,10.5,8,1
1944/11,2.8,8,1
1944/12,-6.1,8,1
1945/1,-8.8,8,1
1945/2,-6.5,8,1
1945/3,-1.3,8,1
1945/4,5.8,8,1
1945/5,9.0,8,1
1945/6,13.9,8,1
1945/7,16.7,8,1
1945/8,22.1,8,1
1945/9,16.1,8,1
1945/10,10.8,8,1
1945/11,4.2,8,1
1945/12,-4.1,8,1
1946/1,-5.3,8,1
1946/2,-5.2,8,1
1946/3,-2.8,8,1
1946/4,6.1,8,1
1946/5,10.1,8,1
1946/6,18.1,8,1
1946/7,21.4,8,1
1946/8,24.2,8,1
